;;Группа:;КИ23-10Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курс:;;1;Форма обучения;Очная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;09.03.02 Информационные системы и технологии;;;;;;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;;;;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;
;;;КИ23-06б                                     (1 подгруппа);КИ23-06б                                     (2 подгруппа);КИ23-07б                                     (1 подгруппа);КИ23-07б                                     (2 подгруппа);КИ23-08б                                     (1 подгруппа);КИ23-08б                                     (2 подгруппа);КИ23-10б                                     (1 подгруппа);КИ23-10б                                     (2 подгруппа);КИ23-10б                                     (3 подгруппа);КИ23-10-1б                                     (1 подгруппа);КИ23-10-1-б                                     (2 подгруппа);КИ23-11б                                     (1 подгруппа);КИ23-11б                                     (2 подгруппа);КИ23-12б                                     (1 подгруппа);КИ23-12б                                     (2 подгруппа);КИ23-13б                                     (1 подгруппа);КИ23-13б                                     (2 подгруппа);КИ23-14б                                     (1 подгруппа);КИ23-14б                                     (2 подгруппа);КИ23-15б                                     (1 подгруппа);КИ23-15б                                     (2 подгруппа);КИ23-16/1б                                     (1 подгруппа);КИ23-16/1б                                     (2 подгруппа);КИ23-17/1б                                     (1 подгруппа);КИ23-17/1б                                     (2 подгруппа);КИ23-17/2б                                     (1 подгруппа);КИ23-17/2б                                     (2 подгруппа);КИ23-18                                     (1 подгруппа);КИ23-18                                     (12 одгруппа);КИ23-01                                     (1 подгруппа);КИ23-01                                     (2 подгруппа);КИ23-02                                     (1 подгруппа);КИ23-02                                     (2 подгруппа);КИ23-02/1б                                     (1 подгруппа);КИ23-02/1б                                     (2 подгруппа);КИ23-02/2б                                     (1 подгруппа);КИ23-02/2б                                     (2 подгруппа);КИ23-02/3б                                     (1 подгруппа);КИ23-02/3б                                     (2 подгруппа);КИ23-03б                                     (1 подгруппа);КИ23-03б                                     (2 подгруппа);КИ23-04б                                     (1 подгруппа);КИ23-04б                                     (2 подгруппа);КИ23-05б;КИ23-20б                                     (1 подгруппа);КИ23-20б                                     (2 подгруппа);КИ23-21б                                     (1 подгруппа);КИ23-21б                                     (2 подгруппа)
Понедельник;8.30 - 10.05;1;Основы программирования;Введение в профессиональную деятельность;;Информатика;;;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Введение в профессиональную деятельность;История России;История России;История России;История России;Физическая культура и спорт;Физическая культура и спорт;;;;;;;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Аналитическая геометрия;Языки программирования;Языки программирования;Языки программирования;Языки программирования;Языки программирования;Языки программирования;;;Физическая культура и спорт;Физическая культура и спорт;Основы программирования;Высшая математика;Высшая математика;;
;;;Верхошенцева С.Л.;Вакансия;;Алексеев М.В.;;;Кушнаренко А.В.;Кушнаренко А.В.;Кушнаренко А.В.;Алексеев О.Г.;Алексеев О.Г.;Терскова А.А.;Терскова А.А.;Нечепуренко В.М.;Нечепуренко В.М.;;;;;;;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Белько Е.С.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Кириллов К.А.;Бураков С.В.;Бураков С.В.;Бураков С.В.;Бураков С.В.;Бураков С.В.;Бураков С.В.;;;Вашко В.А.;Вашко В.А.;Тынченко В.В.;Зыкова Т.В.;Зыкова Т.В.;;
