;;Группа:;КИ22-20Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курс:;;2;Форма обучения;Очная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;09.03.02 Информационные системы и технологии;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;;;;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;09.03.03 Прикладная информатика;;;
;;;КИ22-06б                                     (1 подгруппа);КИ22-06б                                     (2 подгруппа);КИ22-07б                                     (1 подгруппа);КИ22-07б                                     (2 подгруппа);КИ22-08б                                     (1 подгруппа);КИ22-08б                                     (2 подгруппа);КИ22-10б                                     (1 подгруппа);КИ22-10б                                     (2 подгруппа);КИ22-11б                                     (1 подгруппа);КИ22-11б                                     (2 подгруппа);КИ22-12б                                     (1 подгруппа);КИ22-12б                                     (2 подгруппа);КИ22-13б                                     (1 подгруппа);КИ22-13б                                     (2 подгруппа);КИ22-14б                                     (1 подгруппа);КИ22-14б                                     (2 подгруппа);КИ22-16/1б                                     (1 подгруппа);КИ22-16/1б                                     (2 подгруппа);КИ22-17/1б                                     (1 подгруппа);КИ22-17/1б                                     (2 подгруппа);КИ22-17/2б                                     (1 подгруппа);КИ22-17/2б                                     (2 подгруппа);КИ22-18б;КИ22-01                                     (1 подгруппа);КИ22-01                                     (2 подгруппа);КИ22-02                                     (1 подгруппа);КИ22-02                                     (2 подгруппа);КИ22-02/1б                                     (1 подгруппа);КИ22-02/1б                                     (2 подгруппа);КИ22-02/2б                                     (1 подгруппа);КИ22-02/2б                                     (2 подгруппа);КИ22-02/3б                                     (1 подгруппа);КИ22-02/3б                                     (2 подгруппа);КИ22-03б                                     (1 подгруппа);КИ22-03б                                     (2 подгруппа);КИ22-04б                                     (1 подгруппа);КИ22-04б                                     (2 подгруппа);КИ22-20б                                     (1 подгруппа);КИ22-20б                                     (2 подгруппа);КИ22-21б                                     (1 подгруппа);КИ22-21б                                     (2 подгруппа)
Понедельник;8.30 - 10.05;1;;;;;;;;;;;;;;;;;Разработка и анализ требований;Разработка и анализ требований;;;;;Математический анализ. Дополнительные главы;Дополнительные главы математического анализа;Дополнительные главы математического анализа;Дополнительные главы математического анализа;Дополнительные главы математического анализа;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;;;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;;Физика;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Операционные системы;Операционные системы;Базы данных;Базы данных
;;;;;;;;;;;;;;;;;;;Пересунько Е.О.;Пересунько Е.О.;;;;;Антипова И.А.;Антипова И.А.;Антипова И.А.;Антипова И.А.;Антипова И.А.;Богульская Н.А.;Богульская Н.А.;;;Титовский С.Н.;Титовский С.Н.;;Грешилова Н.В.;Манушкина М.М.;Манушкина М.М.;Макуха Л.В.;Макуха Л.В.;Троценко Л.С.;Троценко Л.С.
