;;Группа:;КИ21-17/1Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курс:;;3;Форма обучения;Очная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;;;09.03.02 Информационные технологии;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;;;
;;;КИ21-06б                                     (1 подгруппа);КИ21-06б                                     (2 подгруппа);КИ21-07б                                     (1 подгруппа);КИ21-07б                                     (2 подгруппа);КИ21-08б                                     (1 подгруппа);КИ21-08б                                     (2 подгруппа);КИ21-09б                                     (1 подгруппа);КИ21-09б                                     (2 подгруппа);КИ21-11б                                     (1 подгруппа);КИ21-11б                                     (2 подгруппа);КИ21-12б                                     (1 подгруппа);КИ21-12б                                     (2 подгруппа);КИ21-13б                                     (1 подгруппа);КИ21-13б                                     (2 подгруппа);КИ21-14б                                     (1 подгруппа);КИ21-14б                                     (2 подгруппа);КИ21-15б                                     (1 подгруппа);КИ21-15б                                     (2 подгруппа);КИ21-16/1б                                     (1 подгруппа);КИ21-16/1б                                     (2 подгруппа);КИ21-16/2б                                     (1 подгруппа);КИ21-16/2б                                     (2 подгруппа);КИ21-17/1б                                     (1 подгруппа);КИ21-17/1б                                     (2 подгруппа);КИ21-18б;КИ21-01                                     (1 подгруппа);КИ21-01                                     (2 подгруппа);КИ21-02                                     (1 подгруппа);КИ21-02                                     (2 подгруппа);КИ21-02/1б                                     (1 подгруппа);КИ21-02/1б                                     (2 подгруппа);КИ21-03б                                     (1 подгруппа);КИ21-03б                                     (2 подгруппа);КИ21-04б                                     (1 подгруппа);КИ21-04б                                     (2 подгруппа);КИ21-05б                                    ;КИ21-20б                                     (1 подгруппа);КИ21-20б                                     (2 подгруппа);КИ21-21б                                     (1 подгруппа);КИ21-21б                                     (2 подгруппа);КИ21-22б                                     (1 подгруппа);КИ21-22б                                     (2 подгруппа)
Понедельник;8.30 - 10.05;1;;;;;;;;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;;;;;;;;;;;;;;;;;
;;2;;;;;;;;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;;;;;;;;;;;;;;;;;
;10.15 - 11.50;1;;;;;;;Профессионально-ориентированный иностранный язык;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;Методы оптимизации;Методы оптимизации;;;;;;Математическое моделирование в задачах информационной безопасности;Математическое моделирование в задачах информационной безопасности;;;;;;;;Инструментальные средства разработки ИС;Инструментальные средства разработки ИС;;
;;;;;;;;;Лабушева Т.М.;;;;;;;;;;;;;;;;Тынченко В.В.;Тынченко В.В.;;;;;;Кириллова С.В.;Кириллова С.В.;;;;;;;;Кустов Д.В.;Кустов Д.В.;;
;;;;;;;;;пр. занятие;;;;;;;;;;;;;;;;пр. занятие;пр. занятие;;;;;;лекция;лекция;;;;;;;;пр. занятие;пр. занятие;;
;;;;;;;;;ЭИОС;;;;;;;;;;;;;;;;Корпус №15;Корпус №15;;;;;;Корпус №17;Корпус №17;;;;;;;;ЭИОС;ЭИОС;;
;;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=7560;;;;;;;;;;;;;;;;4-15;4-15;;;;;;1-19;1-19;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=22118;https://e.sfu-kras.ru/course/view.php?id=22118;;
;;;;;;;;;асинхронно;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;синхронно;синхронно;;;;;;синхронно;синхронно;;;;;;;;асинхронно;асинхронно;;
;;2;;;;;;;Профессионально-ориентированный иностранный язык;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;;;;Безопасность жизнедеятельности;Безопасность жизнедеятельности;Математическое моделирование в задачах информационной безопасности;Математическое моделирование в задачах информационной безопасности;;;;;;;;Инструментальные средства разработки ИС;Инструментальные средства разработки ИС;;
;;;;;;;;;Лабушева Т.М.;;;;;;;;;;;;;;;;;;;;;Чурбакова О.В.;Чурбакова О.В.;Кириллова С.В.;Кириллова С.В.;;;;;;;;Кустов Д.В.;Кустов Д.В.;;
;;;;;;;;;пр. занятие;;;;;;;;;;;;;;;;;;;;;лекция;лекция;лекция;лекция;;;;;;;;пр. занятие;пр. занятие;;
;;;;;;;;;Корпус №15;;;;;;;;;;;;;;;;;;;;;Корпус №80;Корпус №80;Корпус №17;Корпус №17;;;;;;;;ЭИОС;ЭИОС;;
;;;;;;;;;5-03а;;;;;;;;;;;;;;;;;;;;;4-13;4-13;1-18;1-18;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=22118;https://e.sfu-kras.ru/course/view.php?id=22118;;
;;;;;;;;;синхронно;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;;;синхронно;синхронно;синхронно;синхронно;;;;;;;;асинхронно;асинхронно;;
