;;Группа:;КИ20-20Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курс:;;4;Форма обучения;Очная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;
;;;КИ20-06б                                     (1 подгруппа);КИ20-06б                                     (2 подгруппа);КИ20-07б                                     (1 подгруппа);КИ20-07б                                     (2 подгруппа);КИ20-08б                                     (1 подгруппа);КИ20-08б                                     (2 подгруппа);КИ20-11б                                     (1 подгруппа);КИ20-11б                                     (2 подгруппа);КИ20-12б                                     (1 подгруппа);КИ20-12б                                     (2 подгруппа);КИ20-13б                                     (1 подгруппа);КИ20-13б                                     (2 подгруппа);КИ20-14б                                     (1 подгруппа);КИ20-14б                                     (2 подгруппа);КИ21-16/1б                                     (1 подгруппа);КИ20-16/1б                                     (2 подгруппа);КИ20-16/2б                                     (1 подгруппа);КИ20-16/2б                                     (2 подгруппа);КИ20-17/1б                                     (1 подгруппа);КИ20-17/1б                                     (2 подгруппа);КИ20-18б;КИ20-01                                     (1 подгруппа);КИ20-01                                     (2 подгруппа);КИ20-02                                     (1 подгруппа);КИ20-02                                     (2 подгруппа);КИ20-02/1б                                     (1 подгруппа);КИ20-02/1б                                     (2 подгруппа);КИ20-03б                                     (1 подгруппа);КИ20-03б                                     (2 подгруппа);КИ20-04б                                     (1 подгруппа);КИ20-04б                                     (2 подгруппа);КИ20-05б                                    ;КИ20-20б                                     (1 подгруппа);КИ20-20б                                     (2 подгруппа);КИ20-21б                                     (1 подгруппа);КИ20-21б                                     (2 подгруппа)
Понедельник;8.30 - 10.05;1;;;;;;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;;;;;;;;;;;;;;;
;;2;;;;;;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;;;;;;;;;;;;;;;
