;;Группа:;РФ19-34;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;
Институт:;;ИИФР;;;;;Ректор                             М.В. Румянцев;
Курс:;;5;Форма обучения;Очная;;;;
;;;;;;;;
Дни;Часы;Неделя;11.05.01 Радиоэлектронные системы и комплексы;;;;;
;;;"РФ19-34
";;;;;
Понедельник;8.30 - 10.05;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;10.15 - 11.50;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;12.00 - 13.35;1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;14.10 - 15.45;1;Радионавигационные системы;;;;;
;;;Бондаренко В.Н.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;;2;Облачные технологии на основе оборудования компании Huawei;;;;;
;;;Кулаев А.В.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;2-29а;;;;;
;;;синхронно;;;;;
;15.55 - 17.30;1;Радионавигационные системы;;;;;
;;;Бондаренко В.Н.;;;;;
;;;лаб. работа;;;;;
;;;Корпус №12;;;;;
;;;4-20;;;;;
;;;синхронно;;;;;
;;2;Облачные технологии на основе оборудования компании Huawei;;;;;
;;;Кулаев А.В.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;2-29а;;;;;
;;;синхронно;;;;;
;17.40 - 19.15;1;Подвижные системы связи;;;;;
;;;Феоктистов Д.С.;;;;;
;;;пр. занятие;;;;;
;;;Корпус №12;;;;;
;;;2-23с;;;;;
;;;синхронно;;;;;
;;2;Подвижные системы связи;;;;;
;;;Феоктистов Д.С.;;;;;
;;;лекция;;;;;
;;;Корпус №12;;;;;
;;;4-18;;;;;
;;;синхронно;;;;;
Вторник;8.30 - 10.05;1;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;10.15 - 11.50;1;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;12.00 - 13.35;1;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;2;День военной подготовки;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;14.10 - 15.45;1;День военной подготовки;;;;;
;;;;;;;;
